City,Date,Area,SPM,NO,NO2,NOx,CO,SO2,RSPM,AQI,AQI_Bucket
Ahmedabad,26-04-2023,"Residential, Rural and other Areas",63.58,3.58,16.81,20.92,3.58,28.44,30.48,,
Ahmedabad,27-04-2023,Industrial Area,103.08,9.07,18.21,27.34,9.07,29.48,34.75,189,Moderate
Ahmedabad,28-04-2023,"Residential, Rural and other Areas",78.25,12.99,28.71,40.76,12.99,39.71,38.46,408,Severe
Ahmedabad,29-04-2023,"Residential, Rural and other Areas",77.84,18.21,29.38,47.01,18.21,62.75,46.79,383,Very Poor
Ahmedabad,30-04-2023,Industrial Area,69.99,48.44,42.27,90.73,48.44,78.76,59.39,780,Severe
Ahmedabad,01-05-2023,"Residential, Rural and other Areas",78.7,2.5,16.1,18.66,2.5,29.29,69.9,,
Ahmedabad,02-05-2023,"Residential, Rural and other Areas",59.96,3.51,16.83,20.32,3.51,30.28,57.16,190,Moderate
Ahmedabad,03-05-2023,Industrial Area,48.27,4.13,24.07,27.9,4.13,50.35,50.49,233,Poor
Ahmedabad,04-05-2023,"Residential, Rural and other Areas",44.81,5.39,25.59,30.51,5.39,38.85,60.17,297,Poor
Ahmedabad,05-05-2023,"Residential, Rural and other Areas",55.21,4.11,28.94,31.83,4.11,54.2,53.61,330,Very Poor
Ahmedabad,06-05-2023,"Residential, Rural and other Areas",40.89,4.28,27.31,30.54,4.28,70.29,40.91,252,Poor
Ahmedabad,07-05-2023,Industrial Area,41.59,3.67,21.58,24.62,3.67,64.39,45.69,244,Poor
Ahmedabad,08-05-2023,"Residential, Rural and other Areas",39.02,6.42,25.03,30.8,6.42,67.53,34.94,234,Poor
Ahmedabad,09-05-2023,Industrial Area,33.5,3.1,14.16,16.15,3.1,48.33,37.95,219,Poor
Ahmedabad,10-05-2023,"Residential, Rural and other Areas",39.42,2.72,14.14,16.98,2.72,43.62,54.78,118,Moderate
Ahmedabad,11-05-2023,Industrial Area,46.84,5.34,29.84,33.28,5.34,59.23,45.44,231,Poor
Ahmedabad,12-05-2023,"Residential, Rural and other Areas",51.63,25.36,29.48,54.79,25.36,58.33,52.87,286,Poor
Ahmedabad,13-05-2023,"Residential, Rural and other Areas",38.12,46.24,37.05,82.23,46.24,53.62,45.65,883,Severe
Ahmedabad,14-05-2023,"Residential, Rural and other Areas",27.79,22.14,36.53,57.49,22.14,61.31,46.77,720,Severe
Ahmedabad,15-05-2023,"Residential, Rural and other Areas",36.27,22.25,43.29,64.53,22.25,66.44,50.57,570,Severe
Ahmedabad,16-05-2023,Industrial Area,76.41,25.38,39.34,63.01,25.38,75.8,46.68,589,Severe
Ahmedabad,17-05-2023,"Residential, Rural and other Areas",62.72,45.61,41.03,85.76,45.61,65.77,41.58,818,Severe
Ahmedabad,18-05-2023,Industrial Area,48.12,27.3,31.15,57.16,27.3,50.98,35.38,737,Severe
Ahmedabad,19-05-2023,"Residential, Rural and other Areas",165.07,23.83,34.48,57.71,23.83,64.32,43.79,585,Severe
Ahmedabad,20-05-2023,Residential and others,,17.93,43.3,60.07,17.93,79.71,53.44,616,Severe
Ahmedabad,21-05-2023,Residential and others,,6.4,35.82,40.22,6.4,46.89,17.94,437,Severe
Ahmedabad,22-05-2023,Residential and others,,5.86,27.89,32.65,5.86,142.36,38.54,321,Very Poor
Ahmedabad,23-05-2023,Residential and others,,4.99,21.8,25.37,4.99,96.28,39.77,372,Very Poor
Ahmedabad,24-05-2023,Residential and others,,3.88,17.99,21.02,3.88,57.34,39.66,339,Very Poor
Ahmedabad,25-05-2023,Residential and others,,6.52,20,26.18,6.52,51.58,59.03,339,Very Poor
Ahmedabad,26-05-2023,Residential and others,,3.8,20.07,23.46,3.8,62.42,46.61,324,Very Poor
Ahmedabad,27-05-2023,Residential and others,,5.24,18.87,23.06,5.24,100.48,27.14,222,Poor
Ahmedabad,28-05-2023,Residential and others,,4.17,13.82,17.45,4.17,40.36,21.76,169,Moderate
Ahmedabad,29-05-2023,Residential and others,,5.63,15.5,18.49,5.63,38.21,4.72,220,Poor
Ahmedabad,30-05-2023,Residential and others,,3.92,16.7,20.97,3.92,26.32,37.11,,
Ahmedabad,31-05-2023,Residential and others,,4.23,20.86,25.02,4.23,35.54,35.66,303,Very Poor
Ahmedabad,01-06-2023,Residential and others,,5.65,25.47,30.67,5.65,87.43,29.77,314,Very Poor
Ahmedabad,02-06-2023,Residential and others,,15.82,30.69,46.1,15.82,66.39,27.34,378,Very Poor
Ahmedabad,03-06-2023,Residential and others,,3.3,26.7,27.41,3.3,59.16,35.89,415,Severe
Ahmedabad,04-06-2023,Residential and others,,5.9,26.27,28.7,5.9,34.53,7,,
Ahmedabad,05-06-2023,Residential and others,,3.52,14.03,17.59,3.52,8.08,19.54,126,Moderate
Ahmedabad,06-06-2023,Residential and others,,5.28,19.56,24.66,5.28,17.66,31.3,175,Moderate
Ahmedabad,07-06-2023,Residential and others,,3.89,22.51,25.17,3.89,15.84,31.23,226,Poor
Ahmedabad,08-06-2023,Residential and others,,5.74,21.71,27.69,5.74,25.9,43.92,244,Poor
Ahmedabad,09-06-2023,Residential and others,,18.01,26.23,44.34,18.01,13.59,41.64,315,Very Poor
Ahmedabad,10-06-2023,Residential and others,,30.8,36.88,66.53,30.8,41.06,37.66,678,Severe
Ahmedabad,11-06-2023,Residential and others,,19.91,46.38,54.77,19.91,31.56,48.49,774,Severe
Ahmedabad,12-06-2023,Residential and others,,4.3,20.27,22.86,4.3,46.6,31.34,285,Poor
Ahmedabad,13-06-2023,Residential and others,,6.99,20.18,26.78,6.99,79.56,28.71,321,Very Poor
Ahmedabad,14-06-2023,Residential and others,,16.73,21.32,37.58,16.73,50.09,28.39,358,Very Poor
Ahmedabad,15-06-2023,Residential and others,,6.3,17.96,23.45,6.3,13.85,34.16,357,Very Poor
Ahmedabad,16-06-2023,Residential and others,,3.44,13.28,15.44,3.44,24.79,43.62,189,Moderate
Ahmedabad,17-06-2023,Residential and others,,3.35,14.29,17.97,3.35,76.05,60.71,,
Ahmedabad,18-06-2023,Residential and others,,5.7,18.62,24.23,5.7,65.44,22.8,214,Poor
Ahmedabad,19-06-2023,Residential and others,,4.55,19.82,23.69,4.55,85.42,22.18,253,Poor
Ahmedabad,20-06-2023,Residential and others,,5.29,15.56,19.73,5.29,74.37,10.12,239,Poor
Ahmedabad,21-06-2023,Residential and others,,3.11,14.77,16.12,3.11,118.35,59.73,,
Ahmedabad,22-06-2023,Residential and others,,3.88,12.74,16.82,3.88,41.94,26.89,,
Ahmedabad,23-06-2023,Residential and others,,5.05,16.7,21.56,5.05,77.74,27.18,300,Poor
Ahmedabad,24-06-2023,Residential and others,,5.69,14.86,19.66,5.69,78.27,18.67,317,Very Poor
Ahmedabad,25-06-2023,Residential and others,,4.67,15.9,20.53,4.67,39.41,11.83,240,Poor
Ahmedabad,26-06-2023,Residential and others,,15.69,23.93,39.73,15.69,93.18,36.71,344,Very Poor
Ahmedabad,27-06-2023,Residential and others,,13.12,23.02,35.05,13.12,65.95,81.6,503,Severe
Ahmedabad,28-06-2023,Residential and others,,2.69,10.5,10.9,2.69,50.13,90.54,308,Very Poor
Ahmedabad,29-06-2023,Residential and others,,2.73,0.08,2.75,2.73,34.06,69.57,227,Poor
Ahmedabad,30-06-2023,Residential and others,,3.14,4.58,6.75,3.14,22.27,32.26,120,Moderate
Ahmedabad,01-07-2023,Residential and others,,6.24,20.47,26.2,6.24,15.5,31.44,158,Moderate
Ahmedabad,02-07-2023,Residential and others,,8,19.28,26.61,8,20.13,25.7,177,Moderate
Ahmedabad,03-07-2023,Residential and others,,9.94,17.82,27.18,9.94,39.69,25.9,201,Poor
Ahmedabad,04-07-2023,Residential and others,,10.68,17.24,27.38,10.68,54.69,18.89,211,Poor
Ahmedabad,05-07-2023,Residential and others,,11.44,16.69,27.61,11.44,42.66,18.2,221,Poor
Ahmedabad,06-07-2023,Residential and others,,12.3,16.08,27.86,12.3,27.96,22.35,233,Poor
Ahmedabad,07-07-2023,Residential and others,,20.42,18.9,37.83,20.42,31.9,22.84,481,Severe
Ahmedabad,08-07-2023,Residential and others,,5.31,30.02,33.62,5.31,36.05,16.26,352,Very Poor
Ahmedabad,09-07-2023,Residential and others,,14.28,28.33,41.92,14.28,70.13,25.4,327,Very Poor
Ahmedabad,10-07-2023,Residential and others,,21.23,28.79,45.4,21.23,17.66,34.42,577,Severe
Ahmedabad,11-07-2023,Residential and others,,7.56,18.79,24.33,7.56,38.76,38.83,411,Severe
Ahmedabad,12-07-2023,Residential and others,,7.14,17.43,23.72,7.14,52.07,29.05,212,Poor
Ahmedabad,13-07-2023,Residential and others,,8.05,15.86,23.34,8.05,36.23,21.58,280,Poor
Ahmedabad,14-07-2023,Residential and others,,10.44,18.16,21.8,10.44,17,25.5,162,Moderate
Ahmedabad,15-07-2023,Residential and others,,9.46,14.9,22.5,9.46,30.67,12.91,,
Ahmedabad,16-07-2023,Residential and others,,10.89,17.18,27.15,10.89,41.12,35.61,569,Severe
Ahmedabad,17-07-2023,Residential and others,,2.18,16.28,17.74,2.18,26.4,12.47,128,Moderate
Ahmedabad,18-07-2023,Residential and others,,2.96,16.17,18.49,2.96,41.96,10.74,129,Moderate
Ahmedabad,19-07-2023,Residential and others,,4.12,15.47,19.28,4.12,23.67,16.01,152,Moderate
Ahmedabad,20-07-2023,Residential and others,,4.23,14.43,18.06,4.23,14.46,45.64,176,Moderate
Ahmedabad,21-07-2023,Residential and others,,4.26,13.73,17.1,4.26,12.85,71.85,167,Moderate
Ahmedabad,22-07-2023,Residential and others,,5.27,16.61,21.42,5.27,14.91,41.19,106,Moderate
Ahmedabad,23-07-2023,Residential and others,,13.71,17.87,31.64,13.71,15.33,12.88,231,Poor
Ahmedabad,24-07-2023,Residential and others,,6.67,17.12,23,6.67,46.82,16.67,327,Very Poor
Ahmedabad,25-07-2023,Residential and others,,5.6,15.47,20.42,5.6,41.68,25.51,174,Moderate
Ahmedabad,26-07-2023,Residential and others,,7.02,15.47,21.13,7.02,71.97,9.56,185,Moderate
Ahmedabad,27-07-2023,Residential and others,,7.25,12.74,19.66,7.25,18.64,6.32,179,Moderate
Ahmedabad,28-07-2023,Residential and others,,6.36,13.9,19.86,6.36,7.76,15.27,211,Poor
Ahmedabad,29-07-2023,Residential and others,,6.01,18.73,24.74,6.01,38.05,38.52,192,Moderate
Ahmedabad,30-07-2023,Residential and others,,8.05,17.88,25.53,8.05,23.84,48.22,310,Very Poor
Ahmedabad,31-07-2023,Residential and others,,6.59,19.84,25.9,6.59,48.05,44.78,223,Poor
Ahmedabad,01-08-2023,Residential and others,,6.86,16.07,22.25,6.86,39.85,32.65,192,Moderate
Ahmedabad,02-08-2023,Residential and others,,7.76,16.53,24.29,7.76,9.89,8.07,191,Moderate
Ahmedabad,03-08-2023,Residential and others,,7.41,11.62,19.03,7.41,3.13,6.69,184,Moderate
Ahmedabad,04-08-2023,Residential and others,,8.56,15.59,24.15,8.56,0.76,3.82,220,Poor
Ahmedabad,05-08-2023,Residential and others,,8.21,11.52,19.74,8.21,0.52,5.17,215,Poor
Ahmedabad,06-08-2023,Residential and others,,8.26,13.33,21.58,8.26,1.02,7.56,226,Poor
Ahmedabad,07-08-2023,Sensitive Areas,,9.63,14.91,24.53,9.63,0.81,2.94,251,Poor
Ahmedabad,08-08-2023,Sensitive Areas,,8.67,18.57,27.25,8.67,1.05,4.63,216,Poor
Ahmedabad,09-08-2023,Sensitive Areas,,9.35,20.55,29.9,9.35,0.74,4.5,237,Poor
Ahmedabad,10-08-2023,Sensitive Areas,,8.54,16.26,24.8,8.54,0.87,4.6,198,Moderate
Ahmedabad,11-08-2023,Sensitive Areas,,7.53,14.36,21.89,7.53,2.17,12.17,195,Moderate
Ahmedabad,12-08-2023,Sensitive Areas,,7.59,13.51,21.11,7.59,4.11,12.22,187,Moderate
Ahmedabad,13-08-2023,Sensitive Areas,,7.34,13.91,21.25,7.34,4.04,11.85,181,Moderate
Ahmedabad,14-08-2023,Sensitive Areas,,7.55,11.68,19.23,7.55,4.01,12.64,179,Moderate
Ahmedabad,15-08-2023,Sensitive Areas,,7.15,10.61,17.76,7.15,5.62,12.7,188,Moderate
Ahmedabad,16-08-2023,Sensitive Areas,,7.99,11.07,19.06,7.99,4.1,10.57,190,Moderate
Ahmedabad,17-08-2023,Sensitive Areas,,7.45,11.16,18.62,7.45,4.99,7.38,185,Moderate
Ahmedabad,18-08-2023,Sensitive Areas,,7.34,10.1,17.44,7.34,10.86,5.47,189,Moderate
Ahmedabad,19-08-2023,Sensitive Areas,,8.68,9.68,18.36,8.68,12.28,3.06,196,Moderate
Ahmedabad,20-08-2023,Sensitive Areas,,8.58,12.79,21.36,8.58,11.09,4.96,201,Poor
Ahmedabad,21-08-2023,Sensitive Areas,,9.15,9.83,18.98,9.15,12.31,6.44,231,Poor
Ahmedabad,22-08-2023,Sensitive Areas,,8.07,9.53,17.59,8.07,13.91,7.28,196,Moderate
Ahmedabad,23-08-2023,Sensitive Areas,,9.23,11.51,20.74,9.23,5.27,5.99,220,Poor
Ahmedabad,24-08-2023,Sensitive Areas,,8.87,13.59,22.64,8.87,8.09,6.31,244,Poor
Ahmedabad,25-08-2023,Sensitive Areas,,9.01,10.9,20.36,9.01,7.31,6.38,223,Poor
Ahmedabad,26-08-2023,Sensitive Areas,,9.56,11.94,21.5,9.56,5.72,6.61,230,Poor
Ahmedabad,27-08-2023,Sensitive Areas,,9.43,9.81,19.23,9.43,6.78,6.42,243,Poor
Ahmedabad,28-08-2023,Sensitive Areas,,8.03,9.53,17.57,8.03,9.33,7.6,215,Poor
Ahmedabad,29-08-2023,Sensitive Areas,,8.11,9.45,17.56,8.11,7.93,7.08,199,Moderate
Ahmedabad,30-08-2023,Sensitive Areas,,8.91,12.38,21.28,8.91,10.05,5.78,200,Moderate
Ahmedabad,31-08-2023,Sensitive Areas,,9.74,11.08,20.82,9.74,10.87,4.44,226,Poor
Ahmedabad,01-09-2023,Sensitive Areas,,10.55,7.8,18.35,10.55,10.28,3.24,241,Poor
Ahmedabad,02-09-2023,Sensitive Areas,,11.48,0.17,11.64,11.48,10.25,5.76,222,Poor
Ahmedabad,03-09-2023,Sensitive Areas,,11.55,0.12,11.66,11.55,12.7,6.55,223,Poor
Ahmedabad,04-09-2023,Sensitive Areas,,11.49,0.16,11.65,11.49,10.07,7.27,248,Poor
Ahmedabad,05-09-2023,Sensitive Areas,,11.47,0.17,11.64,11.47,11.09,6.53,300,Poor
Ahmedabad,06-09-2023,Sensitive Areas,,11.3,0.24,11.53,11.3,7.73,4.67,232,Poor
Ahmedabad,07-09-2023,Sensitive Areas,,10.8,0.36,11.16,10.8,7.8,5.46,330,Very Poor
Ahmedabad,08-09-2023,Sensitive Areas,,8,2.69,10.67,8,10,5.76,223,Poor
Ahmedabad,09-09-2023,Sensitive Areas,,0.64,8.07,8.57,0.64,16.31,8.02,105,Moderate
Ahmedabad,10-09-2023,Sensitive Areas,,0.6,8.02,8.51,0.6,18.93,6.2,101,Moderate
Ahmedabad,11-09-2023,Sensitive Areas,,0.65,8,8.55,0.65,18.99,7.97,93,Satisfactory
Ahmedabad,12-09-2023,Sensitive Areas,,0.72,7.89,8.56,0.72,11.28,10.18,67,Satisfactory
Ahmedabad,13-09-2023,Sensitive Areas,,0.55,8.1,8.49,0.55,10.29,7.44,60,Satisfactory
Ahmedabad,14-09-2023,Sensitive Areas,,0.67,7.9,8.43,0.67,1.28,6.3,,
Ahmedabad,15-09-2023,Sensitive Areas,,0.55,8.28,8.42,0.55,14.58,2.6,90,Satisfactory
Ahmedabad,16-09-2023,Sensitive Areas,,0.1,9.73,7.88,0.1,13.62,4.87,78,Satisfactory
Ahmedabad,17-09-2023,Sensitive Areas,,0.06,9.57,7.77,0.06,13.58,5.08,48,Good
Ahmedabad,18-09-2023,Sensitive Areas,,0.14,8.64,7.97,0.14,15.11,5.34,53,Satisfactory
Ahmedabad,19-09-2023,Sensitive Areas,,0.18,8.78,8.16,0.18,11.52,2.79,91,Satisfactory
Ahmedabad,20-09-2023,Sensitive Areas,,1.52,9.45,9.74,1.52,11.23,4.61,70,Satisfactory
Ahmedabad,21-09-2023,Sensitive Areas,,5.89,11.26,17.15,5.89,11.56,4.4,157,Moderate
Ahmedabad,22-09-2023,Sensitive Areas,,5.75,10.89,16.64,5.75,14.7,3.67,158,Moderate
Ahmedabad,23-09-2023,Sensitive Areas,,7.01,10.58,17.58,7.01,12.95,3.53,169,Moderate
Ahmedabad,24-09-2023,Sensitive Areas,,6.92,10.47,17.39,6.92,19.8,3.38,174,Moderate
Ahmedabad,25-09-2023,Sensitive Areas,,6.74,10.52,17.26,6.74,8.27,3.57,173,Moderate
Ahmedabad,26-09-2023,Sensitive Areas,,6.91,10.51,17.42,6.91,13.48,3.69,172,Moderate
Ahmedabad,27-09-2023,Sensitive Areas,,7.21,11.56,17.07,7.21,13.62,6.08,190,Moderate
Ahmedabad,28-09-2023,Sensitive Areas,,6.69,20.52,27.21,6.69,5.69,7.65,171,Moderate
Ahmedabad,29-09-2023,Sensitive Areas,,6.99,20.42,27.41,6.99,9.23,7.9,168,Moderate
Ahmedabad,30-09-2023,Sensitive Areas,,7.17,20.4,27.57,7.17,6.28,9.86,172,Moderate
Ahmedabad,01-10-2023,Sensitive Areas,,7.14,20.3,27.45,7.14,6.77,12.78,173,Moderate
Ahmedabad,02-10-2023,Sensitive Areas,,7.22,20.21,27.42,7.22,8.66,7.94,175,Moderate
Ahmedabad,03-10-2023,Sensitive Areas,,7.4,20.09,27.5,7.4,9.95,8.39,179,Moderate
Ahmedabad,04-10-2023,Sensitive Areas,,7.35,20.21,27.55,7.35,9.74,6.28,174,Moderate
Ahmedabad,05-10-2023,Sensitive Areas,,7.48,20.23,27.71,7.48,8.92,21.51,176,Moderate
Ahmedabad,06-10-2023,Sensitive Areas,,7.47,20.2,27.68,7.47,11.73,19.8,179,Moderate
Ahmedabad,07-10-2023,Sensitive Areas,,7.49,20.06,27.55,7.49,11.23,22.77,175,Moderate
Ahmedabad,08-10-2023,Sensitive Areas,,7.57,19.94,27.51,7.57,8.21,30.21,177,Moderate
Ahmedabad,09-10-2023,Sensitive Areas,,7.3,20.27,27.57,7.3,6.41,32.95,175,Moderate
Ahmedabad,10-10-2023,Sensitive Areas,,7.35,20.24,27.58,7.35,9.17,26.64,174,Moderate
Ahmedabad,11-10-2023,Sensitive Areas,,7.41,20.1,27.51,7.41,9.64,17.17,179,Moderate
Ahmedabad,12-10-2023,Sensitive Areas,,7.31,20.14,27.45,7.31,10.65,13.35,177,Moderate
Ahmedabad,13-10-2023,Sensitive Areas,,7.41,20.16,27.57,7.41,9.33,18.59,180,Moderate
Ahmedabad,14-10-2023,Sensitive Areas,,12.38,19.67,30.02,12.38,10.37,16.33,274,Poor
Ahmedabad,15-10-2023,Sensitive Areas,,17.31,14.84,32.15,17.31,10.76,5.38,310,Very Poor
Ahmedabad,16-10-2023,Sensitive Areas,,17.24,14.82,32.06,17.24,12.39,8.06,303,Very Poor
Ahmedabad,17-10-2023,Sensitive Areas,,17.17,14.82,31.99,17.17,11.68,37.87,302,Very Poor
Ahmedabad,18-10-2023,Sensitive Areas,,17.12,14.86,31.98,17.12,12.96,86.83,302,Very Poor
Ahmedabad,19-10-2023,Sensitive Areas,,17.08,14.85,31.93,17.08,4.73,54.01,302,Very Poor
Ahmedabad,20-10-2023,Sensitive Areas,,17.11,14.79,31.9,17.11,8.86,77.3,302,Very Poor
Ahmedabad,21-10-2023,Sensitive Areas,,17.01,14.84,31.85,17.01,7.05,62.31,302,Very Poor
Ahmedabad,22-10-2023,Sensitive Areas,,17.07,14.89,31.96,17.07,10.9,55.94,302,Very Poor
Ahmedabad,23-10-2023,Sensitive Areas,,16.98,14.83,31.81,16.98,10.02,96.83,301,Very Poor
Ahmedabad,24-10-2023,Sensitive Areas,,17.04,14.84,31.88,17.04,4.23,99.03,302,Very Poor
Ahmedabad,25-10-2023,Sensitive Areas,,17.05,14.86,31.91,17.05,5.96,59.99,302,Very Poor
Ahmedabad,26-10-2023,Sensitive Areas,,17.03,14.82,31.85,17.03,3.69,7.57,302,Very Poor
Amaravati,24-03-2023,Sensitive Areas,,1.75,20.65,12.4,0.1,10.76,109.26,,
Amaravati,25-03-2023,Sensitive Areas,,1.44,20.5,12.08,0.12,15.24,127.09,184,Moderate
Amaravati,26-03-2023,Sensitive Areas,,1.26,26,14.85,0.14,26.96,117.44,197,Moderate
Amaravati,27-03-2023,Sensitive Areas,,6.6,30.85,21.77,0.11,33.59,111.81,198,Moderate
Amaravati,28-03-2023,"Residential, Rural and other Areas",64.18,2.56,28.07,17.01,0.09,19,138.18,188,Moderate
Amaravati,29-03-2023,Industrial Areas,,5.23,23.2,16.59,0.16,10.55,109.74,173,Moderate
Amaravati,30-03-2023,Industrial Areas,,4.69,20.17,14.54,0.12,14.07,118.09,165,Moderate
Amaravati,31-03-2023,Industrial Areas,,4.58,19.29,13.97,0.1,13.9,123.8,191,Moderate
Amaravati,01-04-2023,Industrial Areas,,7.71,26.19,19.87,0.1,19.37,128.73,191,Moderate
